time,cell_id,generation,type,effect_size,mutation_string
28,7,2,down,0.0,Plk1_rate_down_0
28,7,2,down,0.0,Plk1_rate_down_0
28,8,2,down,0.0,Plk1_rate_down_0
28,8,2,down,0.0,Plk1_rate_down_0
28,9,1,down,0.0,Plk1_rate_down_0
28,9,1,down,0.0,Plk1_rate_down_0
28,10,2,down,0.0,Plk1_rate_down_0
28,10,2,down,0.0,Plk1_rate_down_0
28,10,2,down,0.0,Plk1_rate_down_0
28,11,3,down,0.0,Plk1_rate_down_0
28,11,3,down,0.0,Plk1_rate_down_0
28,11,3,down,0.0,Plk1_rate_down_0
29,0,0,down,0.0,Plk1_rate_down_0
29,0,0,down,0.0,Plk1_rate_down_0
29,2,1,down,0.0,Plk1_rate_down_0
29,2,1,down,0.0,Plk1_rate_down_0
29,2,1,down,0.0,Plk1_rate_down_0
29,3,1,down,0.0,Plk1_rate_down_0
29,3,1,down,0.0,Plk1_rate_down_0
29,4,2,down,0.0,Plk1_rate_down_0
29,4,2,down,0.0,Plk1_rate_down_0
29,4,2,down,0.0,Plk1_rate_down_0
29,5,2,down,0.0,Plk1_rate_down_0
29,5,2,down,0.0,Plk1_rate_down_0
29,6,1,down,0.0,Plk1_rate_down_0
29,6,1,down,0.0,Plk1_rate_down_0
29,7,2,down,0.0,Plk1_rate_down_0
29,7,2,down,0.0,Plk1_rate_down_0
29,8,2,down,0.0,Plk1_rate_down_0
29,8,2,down,0.0,Plk1_rate_down_0
29,9,1,down,0.0,Plk1_rate_down_0
29,9,1,down,0.0,Plk1_rate_down_0
29,10,2,down,0.0,Plk1_rate_down_0
29,10,2,down,0.0,Plk1_rate_down_0
29,10,2,down,0.0,Plk1_rate_down_0
29,11,3,down,0.0,Plk1_rate_down_0
29,11,3,down,0.0,Plk1_rate_down_0
29,11,3,down,0.0,Plk1_rate_down_0
30,0,0,down,0.0,Plk1_rate_down_0
30,0,0,down,0.0,Plk1_rate_down_0
30,0,0,down,0.0,Plk1_rate_down_0
30,2,1,down,0.0,Plk1_rate_down_0
30,2,1,down,0.0,Plk1_rate_down_0
30,2,1,down,0.0,Plk1_rate_down_0
30,3,1,down,0.0,Plk1_rate_down_0
30,3,1,down,0.0,Plk1_rate_down_0
30,3,1,down,0.0,Plk1_rate_down_0
30,4,2,down,0.0,Plk1_rate_down_0
